,times in top 5%,Mean Prob,Original Dependency,Original Dependency Score
SNRNP70,37,0.9294133642772298,11,-1.4477492894215405
SNAPC1,37,0.9435227642188203,24,-1.7077066101239124
TUBGCP2,37,0.9034765303671898,13,-1.3972762544761146
LONP1,37,0.9394484903361349,17,-1.3507662875662116
SMG5,37,0.8768585547133607,8,-1.2445961698965302
SOD2,37,0.9133565229875544,11,-1.1878734000477447
NCAPD2,37,0.9202241945911098,11,-1.3860998113608183
WDR75,37,0.9605262907775675,24,-1.659036110697999
CENPA,37,0.9324132918237564,13,-1.3536036301284706
TNPO3,37,0.892288809424048,12,-1.3710101201651521
DDX41,37,0.917135853488166,11,-1.331021662107224
DDX54,37,0.9623131564071585,25,-1.653388871753166
GARS1,37,0.8780277819783837,9,-1.3171582286882746
PPIL2,37,0.8896146486471364,14,-1.4252457212764362
KAT8,37,0.9426119504748164,20,-1.5936990405900298
USP7,37,0.8280197984731948,7,-0.950357150146406
POLR3H,37,0.9633976806391468,23,-1.6128977380773497
RBM14,37,0.9101395142507984,10,-1.3413646377901864
CLNS1A,37,0.8795839553480749,15,-1.4426628724930723
HSPD1,37,0.9929754503138429,33,-1.9847885518564303
RBM25,37,0.9267029574325492,15,-1.4962258549358545
PAK1IP1,37,0.9287507845474792,14,-1.4164282903955097
WDR77,37,0.9081902203259168,18,-1.4625347477509152
RBM17,37,0.8668265895800547,11,-1.3532670305501417
DDX10,37,0.8940578602455758,12,-1.3541581002494938
PCBP1,37,0.9338596919635396,13,-1.3545215858940352
GTPBP4,37,0.9544972546465761,29,-1.7609531880965743
GEMIN5,37,0.921019117574434,17,-1.4845521868275346
POLR3K,37,0.9576154356604223,20,-1.505628153875865
ELOC,37,0.9071631109392319,11,-1.3032318734505897
TAF6,37,0.912334687537975,19,-1.5480231527001092
TUBGCP3,37,0.8493807748094335,10,-1.3394941568951075
PKMYT1,37,0.8781456877519418,14,-1.353072096197447
RBX1,37,0.839233214656512,11,-1.412037986454514
NVL,37,0.852592636805934,6,-1.1888301920931577
